File,RNR,Role,GeneticNK,FosterNK,CaptureDate,Treatment,Pair,Library,Mol_sex,Age,Category
BD_83107_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83107,Chick,WH.0112.0,WH.0185.0,2018-05-18,Control,112_185,B5,Male,Nestling,Nest A Cross-fostered
BD_83106_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83106,Chick,WH.0185.0,WH.0185.0,2018-05-18,Control,112_185,B5,Female,Nestling,Nest B Stayed
BD_83321_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83321,Chick,WH.0185.0,WH.0185.0,2018-05-18,Control,112_185,B5,Male,Nestling,Nest B Stayed
BD_83108_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83108,Chick,WH.0185.0,WH.0185.0,2018-05-18,Control,112_185,B5,Female,Nestling,Nest B Stayed
BD_30698_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30698,Chick,BL.0334.0,BL.0334.0,2018-05-22,Enlarged,143_334,B5,Female,Nestling,Nest A Stayed
BD_83358_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83358,Chick,BL.0334.0,BL.0334.0,2018-05-22,Enlarged,143_334,B5,Male,Nestling,Nest A Stayed
BD_83362_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83362,Chick,BL.0334.0,BL.0334.0,2018-05-22,Enlarged,143_334,B5,Female,Nestling,Nest A Stayed
BD_83351_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83351,Chick,WH.0143.0,BL.0334.0,2018-05-22,Enlarged,143_334,B5,Male,Nestling,Nest B Cross-fostered
BD_83352_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83352,Chick,WH.0143.0,BL.0334.0,2018-05-22,Enlarged,143_334,B5,Male,Nestling,Nest B Cross-fostered
BD_83360_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83360,Chick,WH.0143.0,BL.0334.0,2018-05-22,Enlarged,143_334,B5,Male,Nestling,Nest B Cross-fostered
BD_30636_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30636,Chick,BL.0334.0,WH.0143.0,2018-05-22,Reduced,143_334,B5,Male,Nestling,Nest A Cross-fostered
BD_30637_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30637,Chick,BL.0334.0,WH.0143.0,2018-05-22,Reduced,143_334,B5,Male,Nestling,Nest A Cross-fostered
